Categoria,Especificação,Porcentagens,Incrementos/Decrementos,Mês,Ano
OS Version,"""Arch Linux"" 64 bit",0.1,0.0,Junho,2020
OS Version,"""Manjaro Linux"" 64 bit",0.1,0.0,Junho,2020
OS Version,Linux Mint 19.3 Tricia 64 bit,0.07,0.0,Junho,2020
OS Version,MacOS 10.11.6 64 bit,0.12,-0.02,Junho,2020
OS Version,MacOS 10.12.6 64 bit,0.16,-0.03,Junho,2020
OS Version,MacOS 10.13.6 64 bit,0.46,-0.11,Junho,2020
OS Version,MacOS 10.14.5 64 bit,0.06,-0.02,Junho,2020
OS Version,MacOS 10.14.6 64 bit,0.71,-0.16,Junho,2020
OS Version,MacOS 10.15.2 64 bit,0.06,-0.04,Junho,2020
OS Version,MacOS 10.15.3 64 bit,0.15,-0.19,Junho,2020
OS Version,MacOS 10.15.4 64 bit,0.7,-0.69,Junho,2020
OS Version,MacOS 10.15.5 64 bit,0.81,0.81,Junho,2020
OS Version,Ubuntu 18.04.4 LTS 64 bit,0.12,-0.03,Junho,2020
OS Version,Ubuntu 20.04 LTS 64 bit,0.16,0.06,Junho,2020
OS Version,Windows 10,0.16,-0.03,Junho,2020
OS Version,Windows 10 64 bit,87.12,1.54,Junho,2020
OS Version,Windows 7,0.32,-0.03,Junho,2020
OS Version,Windows 7 64 bit,5.91,-0.66,Junho,2020
OS Version,Windows 8 64 bit,0.15,-0.01,Junho,2020
OS Version,Windows 8.1 64 bit,1.91,-0.19,Junho,2020
System RAM,10 GB,0.32,0.0,Junho,2020
System RAM,11 GB,0.22,-0.02,Junho,2020
System RAM,12 GB,3.14,0.09,Junho,2020
System RAM,13 GB,0.02,0.0,Junho,2020
System RAM,14 GB,0.33,-0.01,Junho,2020
System RAM,15 GB,0.59,0.06,Junho,2020
System RAM,16 GB,39.53,0.84,Junho,2020
System RAM,2 GB,0.49,-0.07,Junho,2020
System RAM,3 GB,1.82,-0.05,Junho,2020
System RAM,4 GB,6.67,-0.68,Junho,2020
System RAM,5 GB,0.34,-0.01,Junho,2020
System RAM,6 GB,2.41,-0.02,Junho,2020
System RAM,7 GB,2.38,0.02,Junho,2020
System RAM,8 GB,33.44,-0.55,Junho,2020
System RAM,9 GB,0.03,0.0,Junho,2020
System RAM,Less than 2 GB,0.08,-0.02,Junho,2020
System RAM,More than 16 GB,8.18,0.39,Junho,2020
Physical CPUs,1 cpu,0.4,0.01,Junho,2020
Physical CPUs,10 cpus,0.09,0.01,Junho,2020
Physical CPUs,11 cpus,0.0,0.0,Junho,2020
Physical CPUs,12 cpus,0.43,0.06,Junho,2020
Physical CPUs,14 cpus,0.01,0.0,Junho,2020
Physical CPUs,16 cpus,0.11,0.01,Junho,2020
Physical CPUs,18 cpus,0.01,0.0,Junho,2020
Physical CPUs,2 cpus,20.01,-1.06,Junho,2020
Physical CPUs,20 cpus,0.0,0.0,Junho,2020
Physical CPUs,22 cpus,0.0,0.0,Junho,2020
Physical CPUs,24 cpus,0.01,0.0,Junho,2020
Physical CPUs,28 cpus,0.0,0.0,Junho,2020
Physical CPUs,3 cpus,1.07,-0.06,Junho,2020
Physical CPUs,32 cpus,0.01,0.0,Junho,2020
Physical CPUs,36 cpus,0.0,0.0,Junho,2020
Physical CPUs,4 cpus,47.09,-0.63,Junho,2020
Physical CPUs,48 cpus,0.0,0.0,Junho,2020
Physical CPUs,5 cpus,0.01,0.0,Junho,2020
Physical CPUs,6 cpus,23.32,1.18,Junho,2020
Physical CPUs,64 cpus,0.0,0.0,Junho,2020
Physical CPUs,7 cpus,0.0,0.0,Junho,2020
Physical CPUs,8 cpus,7.42,0.47,Junho,2020
Physical CPUs,9 cpus,0.0,0.0,Junho,2020
Video Card Description,AMD Radeon HD 7700 Series,0.23,-0.02,Junho,2020
Video Card Description,AMD Radeon HD 7800 Series,0.19,-0.02,Junho,2020
Video Card Description,AMD Radeon HD 7900 Series,0.25,-0.03,Junho,2020
Video Card Description,AMD Radeon HD 8500 Series,0.19,0.0,Junho,2020
Video Card Description,AMD Radeon HD 8800 Series,0.23,-0.02,Junho,2020
Video Card Description,AMD Radeon Pro 460,0.2,0.0,Junho,2020
Video Card Description,AMD Radeon R4 Graphics,0.18,-0.02,Junho,2020
Video Card Description,AMD Radeon R5 Graphics,0.51,-0.01,Junho,2020
Video Card Description,AMD Radeon R5 M330,0.21,-0.02,Junho,2020
Video Card Description,AMD Radeon R7 300 Series,0.2,-0.03,Junho,2020
Video Card Description,AMD Radeon R7 Graphics,0.51,0.07,Junho,2020
Video Card Description,AMD Radeon R9 200 Series,0.16,-0.01,Junho,2020
Video Card Description,AMD Radeon R9 380 Series,0.2,-0.01,Junho,2020
Video Card Description,AMD Radeon R9 390 Series,0.16,0.0,Junho,2020
Video Card Description,AMD Radeon RX 460,0.29,-0.01,Junho,2020
Video Card Description,AMD Radeon RX 470,0.35,0.01,Junho,2020
Video Card Description,AMD Radeon RX 480,0.53,-0.02,Junho,2020
Video Card Description,AMD Radeon RX 550,0.29,0.01,Junho,2020
Video Card Description,AMD Radeon RX 560,0.41,0.01,Junho,2020
Video Card Description,AMD Radeon RX 570,1.29,0.09,Junho,2020
Video Card Description,AMD Radeon RX 5700,0.23,0.02,Junho,2020
Video Card Description,AMD Radeon RX 5700 XT,0.74,0.08,Junho,2020
Video Card Description,AMD Radeon RX 580,1.98,0.04,Junho,2020
Video Card Description,AMD Radeon RX 580 2048SP,0.29,0.04,Junho,2020
Video Card Description,AMD Radeon RX 590 Series,0.4,0.0,Junho,2020
Video Card Description,AMD Radeon RX Vega,0.31,0.0,Junho,2020
Video Card Description,AMD Radeon RX Vega 11 Graphics,0.21,0.0,Junho,2020
Video Card Description,AMD Radeon Vega 3 Graphics,0.23,0.02,Junho,2020
Video Card Description,AMD Radeon Vega 8 Graphics,0.66,0.08,Junho,2020
Video Card Description,AMD Radeon Vega 8 Mobile Graphics,0.18,0.0,Junho,2020
Video Card Description,Intel Cherryview Cherrytrail,0.24,-0.04,Junho,2020
Video Card Description,Intel HD Graphics,0.15,-0.02,Junho,2020
Video Card Description,Intel HD Graphics 3000,0.49,-0.08,Junho,2020
Video Card Description,Intel HD Graphics 4000,0.93,-0.14,Junho,2020
Video Card Description,Intel HD Graphics 4400,0.17,0.0,Junho,2020
Video Card Description,Intel HD Graphics 4600,0.45,-0.02,Junho,2020
Video Card Description,Intel HD Graphics 5000,0.16,-0.03,Junho,2020
Video Card Description,Intel HD Graphics 520,0.65,-0.06,Junho,2020
Video Card Description,Intel HD Graphics 530,0.28,-0.02,Junho,2020
Video Card Description,Intel HD Graphics 5500,0.48,-0.04,Junho,2020
Video Card Description,Intel HD Graphics 6000,0.53,-0.12,Junho,2020
Video Card Description,Intel HD Graphics 620,0.89,-0.07,Junho,2020
Video Card Description,Intel HD Graphics 630,0.43,-0.03,Junho,2020
Video Card Description,Intel Haswell,0.65,-0.05,Junho,2020
Video Card Description,Intel Iris Graphics 6100,0.22,-0.05,Junho,2020
Video Card Description,Intel Iris Plus Graphics 640,0.37,-0.07,Junho,2020
Video Card Description,Intel Iris Plus Graphics 655,0.17,-0.03,Junho,2020
Video Card Description,Intel Iris Pro Graphics 5200,0.21,-0.04,Junho,2020
Video Card Description,Intel Ivy Bridge,0.39,-0.02,Junho,2020
Video Card Description,Intel Sandy Bridge,0.21,-0.02,Junho,2020
Video Card Description,Intel UHD Graphics 620,1.11,-0.06,Junho,2020
Video Card Description,Intel UHD Graphics 630,0.66,-0.02,Junho,2020
Video Card Description,Intel Valleyview Baytrail,0.26,-0.03,Junho,2020
Video Card Description,NVIDIA GeForce 840M,0.3,-0.03,Junho,2020
Video Card Description,NVIDIA GeForce 920M,0.34,-0.03,Junho,2020
Video Card Description,NVIDIA GeForce 920MX,0.26,-0.04,Junho,2020
Video Card Description,NVIDIA GeForce 940M,0.91,-0.06,Junho,2020
Video Card Description,NVIDIA GeForce 940MX,0.19,-0.03,Junho,2020
Video Card Description,NVIDIA GeForce GT 1030,0.58,0.02,Junho,2020
Video Card Description,NVIDIA GeForce GT 630,0.25,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GT 710,0.32,0.0,Junho,2020
Video Card Description,NVIDIA GeForce GT 720M,0.49,-0.06,Junho,2020
Video Card Description,NVIDIA GeForce GT 730,0.62,0.0,Junho,2020
Video Card Description,NVIDIA GeForce GT 740M,0.2,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTS 450,0.16,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1050,5.1,0.03,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1050 Ti,8.01,0.17,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1060,11.27,0.0,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1070,3.91,-0.04,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1070 Ti,1.06,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1080,2.39,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1080 Ti,1.52,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1650,2.87,0.39,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1650 SUPER,0.25,0.07,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1660,1.57,0.13,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.9,0.22,Junho,2020
Video Card Description,NVIDIA GeForce GTX 1660 Ti,2.59,0.2,Junho,2020
Video Card Description,NVIDIA GeForce GTX 550 Ti,0.2,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 650,0.36,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 660,0.36,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 750,0.41,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 750 Ti,1.45,0.03,Junho,2020
Video Card Description,NVIDIA GeForce GTX 760,0.41,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 770,0.22,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 850M,0.15,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 860M,0.21,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 950,0.51,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 950M,0.64,-0.05,Junho,2020
Video Card Description,NVIDIA GeForce GTX 960,1.56,-0.08,Junho,2020
Video Card Description,NVIDIA GeForce GTX 960M,1.07,-0.06,Junho,2020
Video Card Description,NVIDIA GeForce GTX 970,1.98,-0.03,Junho,2020
Video Card Description,NVIDIA GeForce GTX 970M,0.26,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce GTX 980,0.39,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce GTX 980 Ti,0.38,0.0,Junho,2020
Video Card Description,NVIDIA GeForce MX110,0.26,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce MX130,0.27,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce MX150,0.63,-0.02,Junho,2020
Video Card Description,NVIDIA GeForce MX250,0.34,0.01,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2060,2.43,0.16,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.93,0.16,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2070,1.77,0.05,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2070 SUPER,1.54,0.2,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2080,0.94,-0.01,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2080 SUPER,0.61,0.06,Junho,2020
Video Card Description,NVIDIA GeForce RTX 2080 Ti,0.85,0.06,Junho,2020
Video Card Description,NVIDIA Graphics Device,0.25,0.09,Junho,2020
Video Card Description,Other,10.41,-0.13,Junho,2020
Video Card Description,,0.22,-0.01,Junho,2020
VRAM,1024 MB,11.94,-0.52,Junho,2020
VRAM,11263 MB,4.14,0.0,Junho,2020
VRAM,2047 MB,13.79,-0.4,Junho,2020
VRAM,3071 MB,5.46,0.05,Junho,2020
VRAM,4095 MB,17.46,0.19,Junho,2020
VRAM,512 MB,1.52,0.08,Junho,2020
VRAM,6143 MB,20.79,0.71,Junho,2020
VRAM,8191 MB,21.19,0.32,Junho,2020
VRAM,Other,3.72,0.21,Junho,2020
Primary Display Resolution,1024 x 768,0.38,-0.01,Junho,2020
Primary Display Resolution,1280 x 1024,1.24,-0.03,Junho,2020
Primary Display Resolution,1280 x 720,0.36,-0.03,Junho,2020
Primary Display Resolution,1280 x 800,0.61,-0.11,Junho,2020
Primary Display Resolution,1360 x 768,1.55,-0.05,Junho,2020
Primary Display Resolution,1366 x 768,10.22,-0.69,Junho,2020
Primary Display Resolution,1440 x 900,3.12,-0.28,Junho,2020
Primary Display Resolution,1600 x 900,2.59,-0.06,Junho,2020
Primary Display Resolution,1680 x 1050,1.97,-0.1,Junho,2020
Primary Display Resolution,1920 x 1080,64.81,1.3,Junho,2020
Primary Display Resolution,1920 x 1200,0.81,-0.02,Junho,2020
Primary Display Resolution,2560 x 1080,1.13,0.0,Junho,2020
Primary Display Resolution,2560 x 1440,6.23,0.17,Junho,2020
Primary Display Resolution,3440 x 1440,0.87,0.05,Junho,2020
Primary Display Resolution,3840 x 2160,2.12,-0.05,Junho,2020
Primary Display Resolution,Other,2.0,-0.07,Junho,2020
